epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.1997,1.47097,4.34429,1.65179,0.34963,0.73607,0.45171,0.29134,1.01743,15.1763,1.37048,0.00018816,0.00018816,0.00018816
2,163.089,1.02363,2.57224,1.23117,0.54515,0.67405,0.58154,0.38485,1.09048,7.81404,1.53168,0.000378416,0.000378416,0.000378416
3,251.629,1.06764,2.18608,1.29918,0.26302,0.44902,0.20377,0.13477,1.20659,inf,1.69978,0.00056483,0.00056483,0.00056483
4,333.679,1.0406,2.10344,1.32219,0.64982,0.68359,0.72887,0.49842,1.12478,14.0034,1.80414,0.000570536,0.000570536,0.000570536
5,418.74,1.0375,1.49144,1.26059,0.89638,0.86818,0.91232,0.61844,1.07836,1.41436,1.66245,0.000564715,0.000564715,0.000564715
6,507.228,1.04788,1.38096,1.26987,0.87126,0.82145,0.93645,0.67438,0.9989,1.90144,1.59363,0.000558894,0.000558894,0.000558894
7,636.571,1.00667,1.15764,1.31169,0.91998,0.95147,0.97632,0.71195,1.00218,1.10299,1.56313,0.000553073,0.000553073,0.000553073
8,720.149,0.98347,1.02904,1.25013,0.92369,0.97475,0.98059,0.6949,1.01802,0.87534,1.53314,0.000547252,0.000547252,0.000547252
9,860.53,1.02498,0.96754,1.27114,0.92556,0.95027,0.99146,0.73176,0.94451,1.37111,1.4546,0.00054143,0.00054143,0.00054143
10,1014.39,0.96676,0.88682,1.27081,0.97129,0.99039,0.99427,0.71626,0.98526,0.73395,1.50225,0.000535609,0.000535609,0.000535609
11,1103.88,0.9573,0.84315,1.2315,0.97136,0.99815,0.99462,0.73416,1.01762,0.64261,1.54753,0.000529788,0.000529788,0.000529788
12,1185.28,0.96785,0.82714,1.26387,0.97435,0.96885,0.995,0.72881,0.95961,0.71604,1.48166,0.000523967,0.000523967,0.000523967
13,1268.99,0.9485,0.80649,1.25075,0.96612,0.97689,0.995,0.7376,0.91335,0.74849,1.4465,0.000518146,0.000518146,0.000518146
14,1354.12,0.9572,0.82985,1.2713,0.98602,0.98209,0.99138,0.73987,0.90088,0.65858,1.42821,0.000512324,0.000512324,0.000512324
15,1469.25,0.96826,0.78358,1.25176,0.98546,0.99693,0.995,0.75371,0.92391,0.54228,1.43997,0.000506503,0.000506503,0.000506503
16,1565.43,0.92371,0.72026,1.21258,0.97205,0.97887,0.995,0.7253,0.96358,0.52387,1.48168,0.000500682,0.000500682,0.000500682
17,1702.81,0.95012,0.70692,1.22752,0.97238,0.99543,0.995,0.75193,0.99157,0.51158,1.53938,0.000494861,0.000494861,0.000494861
18,1797.87,0.93926,0.71696,1.2373,0.98157,0.99622,0.995,0.77221,0.86866,0.49936,1.36297,0.00048904,0.00048904,0.00048904
19,1888,0.92643,0.72031,1.24648,0.98537,1,0.995,0.73973,0.9272,0.52977,1.4442,0.000483218,0.000483218,0.000483218
20,1970.44,0.90815,0.69706,1.25582,0.98707,1,0.995,0.7456,0.92012,0.49099,1.42585,0.000477397,0.000477397,0.000477397
21,2054.58,0.88448,0.65572,1.21097,0.98398,1,0.995,0.74468,0.86615,0.49714,1.37342,0.000471576,0.000471576,0.000471576
22,2143.63,0.90285,0.67339,1.20637,0.98871,0.99235,0.995,0.7355,0.91094,0.47943,1.43117,0.000465755,0.000465755,0.000465755
23,2265.19,0.8824,0.6581,1.17935,0.98579,0.99066,0.995,0.7599,0.89237,0.49145,1.4217,0.000459934,0.000459934,0.000459934
24,2365.63,0.88662,0.59817,1.16611,0.98646,1,0.995,0.76251,0.89333,0.44637,1.41031,0.000454112,0.000454112,0.000454112
25,2479.65,0.88489,0.60638,1.19377,0.98891,0.98782,0.995,0.75979,0.85571,0.44031,1.34722,0.000448291,0.000448291,0.000448291
26,2629.14,0.88883,0.6279,1.20732,0.98534,1,0.995,0.75996,0.90863,0.48963,1.4332,0.00044247,0.00044247,0.00044247
27,2717.87,0.87089,0.59578,1.19379,0.98587,0.99835,0.995,0.77146,0.84594,0.41175,1.34919,0.000436649,0.000436649,0.000436649
28,2799.07,0.85535,0.57218,1.16629,0.98274,0.98936,0.995,0.7633,0.88073,0.42684,1.37529,0.000430828,0.000430828,0.000430828
29,2898.44,0.84163,0.57604,1.16676,0.9903,1,0.995,0.77111,0.8486,0.41398,1.36067,0.000425006,0.000425006,0.000425006
30,2997.81,0.86246,0.55894,1.19544,0.98218,0.9954,0.995,0.75683,0.87376,0.4161,1.37701,0.000419185,0.000419185,0.000419185
31,3080.9,0.84398,0.57632,1.17393,0.98963,0.99863,0.995,0.76083,0.87155,0.41597,1.37625,0.000413364,0.000413364,0.000413364
32,3164.37,0.85778,0.55162,1.1597,0.98883,1,0.995,0.76395,0.88454,0.41993,1.41364,0.000407543,0.000407543,0.000407543
33,3291.32,0.8563,0.54748,1.17468,0.97585,0.99751,0.995,0.77677,0.85398,0.41589,1.37454,0.000401722,0.000401722,0.000401722
34,3434.09,0.84136,0.52402,1.16095,0.99069,0.99959,0.995,0.73259,0.95,0.41996,1.47727,0.0003959,0.0003959,0.0003959
35,3529.55,0.84783,0.54718,1.17988,0.98045,1,0.995,0.78356,0.84276,0.40362,1.36826,0.000390079,0.000390079,0.000390079
36,3606.92,0.85256,0.54391,1.17115,0.98959,1,0.995,0.76557,0.84942,0.40031,1.35455,0.000384258,0.000384258,0.000384258
37,3746.94,0.81688,0.54548,1.14105,0.98981,0.99637,0.995,0.77277,0.84378,0.39484,1.35116,0.000378437,0.000378437,0.000378437
38,3823.26,0.83686,0.5482,1.1579,0.98956,0.997,0.995,0.77828,0.85949,0.39825,1.37214,0.000372616,0.000372616,0.000372616
39,3907.21,0.84067,0.52353,1.18027,0.98903,0.99966,0.995,0.7541,0.87624,0.4026,1.38588,0.000366794,0.000366794,0.000366794
40,3991.79,0.82255,0.52662,1.17782,0.99062,1,0.995,0.77787,0.85925,0.37107,1.35974,0.000360973,0.000360973,0.000360973
41,4094.21,0.82642,0.51133,1.168,0.98698,1,0.995,0.78019,0.8347,0.39018,1.3374,0.000355152,0.000355152,0.000355152
42,4217.68,0.87389,0.57821,1.20771,0.98839,1,0.995,0.7743,0.88192,0.38921,1.38767,0.000349331,0.000349331,0.000349331
43,4333.62,0.84843,0.53117,1.18753,0.98987,1,0.995,0.76223,0.88968,0.39381,1.40909,0.00034351,0.00034351,0.00034351
44,4411.28,0.82307,0.48398,1.16722,0.98991,1,0.995,0.77865,0.84668,0.38078,1.34584,0.000337688,0.000337688,0.000337688
45,4494.48,0.81652,0.48212,1.13487,0.99094,1,0.995,0.74282,0.89334,0.38349,1.40286,0.000331867,0.000331867,0.000331867
46,4577.57,0.80728,0.5026,1.14737,0.99153,1,0.995,0.76278,0.87702,0.37991,1.38775,0.000326046,0.000326046,0.000326046
47,4663.95,0.80605,0.52287,1.14901,0.99058,1,0.995,0.77954,0.8222,0.36948,1.33095,0.000320225,0.000320225,0.000320225
48,4780.61,0.78409,0.47211,1.11827,0.98717,1,0.995,0.77341,0.8216,0.38264,1.33901,0.000314404,0.000314404,0.000314404
49,4864.66,0.81461,0.49977,1.14946,0.99127,0.99874,0.995,0.76696,0.87157,0.36929,1.39903,0.000308582,0.000308582,0.000308582
50,4993.66,0.77817,0.47608,1.12732,0.98816,1,0.995,0.76719,0.82019,0.36266,1.34805,0.000302761,0.000302761,0.000302761
51,5079.59,0.79285,0.48538,1.12007,0.98924,0.99982,0.995,0.78281,0.79409,0.35955,1.3158,0.00029694,0.00029694,0.00029694
52,5157.34,0.80079,0.46816,1.16162,0.98306,1,0.995,0.77404,0.82399,0.35979,1.34951,0.000291119,0.000291119,0.000291119
